"filename", "language", "Swift", "XML", "JSON", "comment", "blank", "total"
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/HB_PhoneCharge_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/HB_PhoneCharge_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/HB_PhoneCharge_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/I_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/I_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/I_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/OA_LivingExpense_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/OA_LivingExpense_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/OA_LivingExpense_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/OB_Schoolarship_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/OB_Schoolarship_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/OB_Schoolarship_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/xcc_family_teddy_bear.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/xcc_family_teddy_bear_l.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/xcc_family_teddy_bear_s.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/xcc_family_toy_duck.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/xcc_family_toy_duck_l.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/xcc_family_toy_duck_s.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_barbell.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
